,tilted_insol,altitude,normal_insol,surface_temp,TEG_1,TEG_2,TEG_3,CONC_1,CONC_2,CONC_3
1970-01-01 19:00:00,0.0,5.654962235872808,0.0,278.63921712,236.59825395230268,236.74724618660213,236.89331711246814,236.89286573774058,272.30483634357773,297.0
1970-01-01 20:00:00,0.0,10.599499314280353,0.0,278.63921712,236.15554805409118,236.2810668046526,236.40646685454408,236.40644942986748,266.9211292323664,297.0
1970-01-01 21:00:00,0.0,15.617610749714146,0.0,278.63921712,236.1377332959826,236.26227106532008,236.38680399208923,236.3868033296019,266.70226289928877,297.0
1970-01-01 22:00:00,0.0,20.654477214207475,0.0,278.63921712,236.137008356853,236.26150615922776,236.38600376463722,236.38600378475252,266.6933622639263,297.0
1970-01-01 23:00:00,0.0,25.69952667012314,0.0,278.63921712,236.13697887396071,236.26147505082145,236.38597121967183,236.38597126754908,266.69300028952074,297.0
1970-01-02 00:00:00,0.0,30.749234089888997,0.0,278.63921712,236.13697767493622,236.26147378568965,236.38596989611727,236.38596994512355,266.6929855685879,297.0
1970-01-02 01:00:00,0.0,35.80206819678273,0.0,278.63921712,236.13697762617466,236.26147373423962,236.38596984229127,236.38596989134348,266.6929849699106,297.0
1970-01-02 02:00:00,0.0,40.85724040834963,0.0,278.63921712,236.1369776241915,236.26147373214712,236.38596984010223,236.3859698891563,266.69298494556426,297.0
1970-01-02 03:00:00,0.0,45.91428367517558,0.0,278.63921712,236.1369776241144,236.2614737320657,236.3859698400169,236.3859698890711,266.6929849445847,297.0
1970-01-02 04:00:00,0.0,50.972886444058574,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 05:00:00,0.0,56.032816377148826,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 06:00:00,0.0,61.09388019399752,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 07:00:00,0.0,66.15590452347591,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 08:00:00,0.0,71.2187258053834,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 09:00:00,0.0,76.28217994234292,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 10:00:00,0.0,81.34610591190034,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 11:00:00,0.0,86.41033918547068,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 12:00:00,0.0,91.47471292454273,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 13:00:00,0.0,96.53906217452261,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 14:00:00,0.0,101.60321957340777,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 15:00:00,0.0,106.66702025507381,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 16:00:00,0.0,111.7303003966531,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 17:00:00,0.0,116.79289610438809,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 18:00:00,0.0,121.85464141497697,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 19:00:00,0.0,126.9153647014155,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 20:00:00,0.0,131.97487567318797,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 21:00:00,0.0,137.03295172963902,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 22:00:00,0.0,142.0893052762189,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-02 23:00:00,0.0,147.1435205951052,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-03 00:00:00,0.0,152.19492769179692,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-03 01:00:00,0.0,157.24229855353033,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-03 02:00:00,0.0,162.28301494264946,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-03 03:00:00,0.0,167.31016649854936,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-03 04:00:00,0.0,172.2970175843884,0.0,278.63921712,236.1369776241133,236.26147373206453,236.3859698400157,236.38596988906986,266.69298494456547,297.0
1970-01-03 05:00:00,67.8305635543671,97.7303075856958,67.85521937546245,281.5616516249404,243.8278795978743,243.8416571256355,243.8552653678282,243.90520924872249,267.00470855612735,297.0
1970-01-03 06:00:00,1358.2765600691969,3.1221008838627506,1360.5812578716082,337.1605242568767,421.8698757262852,421.8404415419031,421.8100355301933,421.81079233929086,336.0547203790481,297.0
1970-01-03 07:00:00,1347.0520086653346,7.77554762178961,1359.9816318555772,336.67704225167813,421.29089549477345,421.268830826783,421.2471743536653,421.2468481073539,358.4352944400013,297.0
1970-01-03 08:00:00,1325.3970468148784,12.759413365700798,1359.3959383157762,335.7440469265969,419.7054417259653,419.68372069860123,419.66268571254403,419.66213512641923,358.5623643166445,297.0
1970-01-03 09:00:00,1293.497540313174,17.78070750342434,1358.8279981928904,334.3696566261924,417.32705781203293,417.3054901203601,417.2848766103073,417.28410592908875,357.5193568704413,297.0
1970-01-03 10:00:00,1251.6170009053371,22.813399709577425,1358.2814017633414,332.5652310881267,414.14759189084134,414.1262515568684,414.1061333780202,414.1051374771471,356.05084340096516,297.0
1970-01-03 11:00:00,1200.0941426859386,27.850745796170024,1357.759508962441,330.34536496852667,410.14391175682186,410.12289376904613,410.1033661060187,410.1021373343595,354.1730656367844,297.0
1970-01-03 12:00:00,1139.3399493867119,32.89022572987494,1357.2654507730228,327.72776586743197,405.2835454170498,405.2629615898975,405.24413623171137,405.242664121517,351.87216488201017,297.0
1970-01-03 13:00:00,1069.8342809735655,37.930699952703144,1356.8021320325774,324.73310871848804,399.52253162612465,399.5025172943621,399.48452881501527,399.482799286299,349.1280154184204,297.0
1970-01-03 14:00:00,992.1219309351941,42.97159721252882,1356.3722335272805,321.38486604951646,392.80189744089415,392.7826223362483,392.7656379865231,392.7636321725146,345.91353008406196,297.0
1970-01-03 15:00:00,906.8083739281751,48.01261230200784,1355.9782138096355,317.7091248126881,385.04244021431884,385.02412612669275,385.008361570655,385.0060540543189,342.1923639679562,297.0
1970-01-03 16:00:00,814.5550461636334,53.05358075266181,1355.622310274668,313.7343830529148,376.1367975731325,376.11974853490574,376.10549414160806,376.10285024727557,337.9154055417654,297.0
1970-01-03 17:00:00,716.0742457755731,58.09442016098752,1355.3065389242802,309.4913301971404,365.9369844704784,365.92164168997294,365.90930927092785,365.9062807264709,333.0153171658789,297.0
1970-01-03 18:00:00,612.1238085336,63.1350953465268,1355.032692970499,305.012617659423,354.2339280943663,354.2209781356531,354.2111907198005,354.20770837137337,327.39768678043805,297.0
1970-01-03 19:00:00,503.50140598289835,68.17560260909882,1354.8023402348679,300.33261317785065,340.7218753558704,340.71248617222545,340.7062688429446,340.7022296274808,320.9259013496818,297.0
1970-01-03 20:00:00,391.03862299660824,73.21595962014413,1354.6168197064706,295.4871456463752,324.93187582193474,324.92828901829483,324.92753489887616,324.92277663531746,313.3934942836538,297.0
1970-01-03 21:00:00,275.5948840678029,78.2561968398333,1354.4772372447358,290.5132434287753,306.0950525247983,306.102407505388,306.1112731874876,306.1055204795616,304.4690287760106,297.0
1970-01-03 22:00:00,158.0511290489944,83.29635503806567,1354.3844609431799,285.44886187858447,282.8218841673541,282.8561176669171,282.8868978652894,282.87962867382663,293.5729680180383,297.0
1970-01-03 23:00:00,41.148665951457424,88.33648209761824,1354.339116340023,280.33260729584447,252.454564618945,252.59661191458963,252.71109931895293,252.70215369106347,279.5817009805553,297.0
1970-01-04 00:00:00,0.0,93.37662706576383,1354.3415817111177,275.20346082335277,233.9921832458971,234.1673611684213,234.3320274650676,234.33066079102682,267.45612137262697,297.0
1970-01-04 01:00:00,0.0,98.41684286417363,1354.391983643772,270.1004919296891,229.80926969312094,230.02935557930599,230.23810424196236,230.23701208557367,264.2515775961297,297.0
1970-01-04 02:00:00,0.0,103.45718164964947,1354.4901930579197,265.0625791536397,225.8419322623605,226.13817462048075,226.419690738166,226.41863518116517,262.27539968989976,297.0
1970-01-04 03:00:00,0.0,108.49769147227163,1354.6358215918392,260.12813072643775,221.97319803171584,222.38601204563082,222.7792617818066,222.778252643829,260.42525510101024,297.0
1970-01-04 04:00:00,0.0,113.53841613028843,1354.8282184524353,255.33480456112306,218.22214345485483,218.82318005570934,219.39757702006386,219.3966327511418,258.69244024280977,297.0
1970-01-04 05:00:00,0.0,118.57939053250591,1355.06646758239,250.71923664785885,214.6022147918717,215.53144851306564,216.4234629990432,216.42261424383526,257.1380484996955,297.0
1970-01-04 06:00:00,0.0,123.62063502817908,1355.3493850025811,246.316775184624,211.09937149895165,212.67043174149075,214.18965885443748,214.18897120071864,255.89385934683702,297.0
1970-01-04 07:00:00,0.0,128.66215040272286,1355.6755162803963,242.1612198184922,207.564337779108,210.6964360992838,213.78694389415503,213.78662133822152,255.34830512430133,297.0
1970-01-04 08:00:00,0.0,133.7039035578132,1356.0431337193922,238.2845747083071,202.0958009527914,211.349778321515,226.09293939120516,226.09334628799454,258.6773857247262,297.0
1970-01-04 09:00:00,0.0,138.7458090734873,1356.4502337820318,234.71680900168698,198.57641260186068,217.63776510765112,249.29399986430198,249.29470372058725,270.7088801932854,297.0
1970-01-04 10:00:00,0.0,143.78769432983077,1356.894534058614,231.48563031591593,197.86484711507828,222.85736971558708,247.55904761408453,247.55925509803723,272.87447678776323,297.0
1970-01-04 11:00:00,0.0,148.82922414124124,1357.3734705476584,228.61627589350059,197.12151916253023,217.73931875026994,236.27887789340883,236.2776107058566,268.5048052077067,297.0
1970-01-04 12:00:00,0.0,153.86975079088285,1357.884195536491,226.13131347726406,196.0911555483222,209.35679837719184,221.3770085213914,221.3751603614667,261.3977717366235,297.0
1970-01-04 13:00:00,0.0,158.90793344136506,1358.4235761386383,224.05046306317155,194.689663415219,202.00783007150937,208.8423195446044,208.84080349125145,254.6354212555932,297.0
1970-01-04 14:00:00,0.0,163.94061724605106,1358.9881939165884,222.39043761761803,193.22039165033382,197.45252814376627,201.53051801642124,201.5296621413675,250.20656786059365,297.0
1970-01-04 15:00:00,0.0,168.95848406758356,1359.5743467249672,221.1647998387867,192.11752440184782,195.11589222092363,198.05841618562036,198.0579772159919,247.97631338824996,297.0
1970-01-04 16:00:00,0.0,173.9164399870055,1360.1780521740013,220.38385277388574,191.43204474637605,193.91732923344244,196.3790015382815,196.37877657385337,246.90733793318978,297.0
1970-01-04 17:00:00,0.0,177.84391559039693,884.6341863483974,240.5601648180597,201.92640573511648,202.49708078313532,203.9270373530834,203.93622487689183,247.7289219617296,297.0
1970-01-04 18:00:00,0.0,175.496752278298,0.0,278.63921712,235.67310314687404,235.77414416919237,235.8812755034474,235.88210295679477,263.3243270939784,297.0
1970-01-04 19:00:00,0.0,170.60578016705944,0.0,278.63921712,236.125652709189,236.2495240593482,236.373468181252,236.37347890973476,266.5540611058375,297.0
1970-01-04 20:00:00,0.0,165.592766690749,0.0,278.63921712,236.1365174236358,236.26098815802737,236.3854618420441,236.38546232444554,266.6873349622217,297.0
1970-01-04 21:00:00,0.0,160.55544681749552,0.0,278.63921712,236.13695890875647,236.26145398484923,236.385949180889,236.38594924756615,266.6927551683807,297.0
1970-01-04 22:00:00,0.0,155.5083868515707,0.0,278.63921712,236.13697686298315,236.26147292897008,236.3859689998351,236.38596904960596,266.69297559989405,297.0
1970-01-04 23:00:00,0.0,150.4560202034097,0.0,278.63921712,236.13697759315292,236.26147369939724,236.38596980583998,236.38596985492325,266.6929845644995,297.0
1970-01-05 00:00:00,0.0,145.4001782454384,0.0,278.63921712,236.13697762284687,236.2614737307284,236.385969838618,236.38596988767333,266.69298492907564,297.0
1970-01-05 01:00:00,0.0,140.34177841526807,0.0,278.63921712,236.13697762405448,236.26147373200254,236.38596983995095,236.38596988900517,266.6929849439018,297.0
1970-01-05 02:00:00,0.0,135.28135065546127,0.0,278.63921712,236.13697762409953,236.26147373205015,236.38596984000088,236.38596988905505,266.69298494449004,297.0
1970-01-05 03:00:00,0.0,130.21924341060353,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 04:00:00,0.0,125.15571537006223,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 05:00:00,0.0,120.09097597004461,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 06:00:00,0.0,115.02521145240532,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 07:00:00,0.0,109.95859650302961,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 08:00:00,0.0,104.89129723843723,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 09:00:00,0.0,99.82347938985629,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 10:00:00,0.0,94.75530567675268,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 11:00:00,0.0,89.68693629052532,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 12:00:00,0.0,84.6185297672336,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 13:00:00,0.0,79.55024124005318,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 14:00:00,0.0,74.48222064942149,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 15:00:00,0.0,69.41461480645172,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 16:00:00,0.0,64.34756583652765,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 17:00:00,0.0,59.28121352146259,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 18:00:00,0.0,54.21569988202906,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 19:00:00,0.0,49.15117354199989,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 20:00:00,0.0,44.087803238019816,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 21:00:00,0.0,39.02579780305003,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 22:00:00,0.0,33.965444537551114,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-05 23:00:00,0.0,28.907190181685333,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-06 00:00:00,0.0,23.851824581043417,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-06 01:00:00,0.0,18.800963967214937,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-06 02:00:00,0.0,13.758647776763288,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-06 03:00:00,0.0,8.73895970137645,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-06 04:00:00,0.0,3.858737446934918,0.0,278.63921712,236.13697762409987,236.26147373205055,236.3859698400013,236.38596988905547,266.6929849444972,297.0
1970-01-06 05:00:00,1019.2654111061404,2.2965270649129046,1020.4238280598418,322.5542715205415,373.8289510881211,373.7331892074196,373.63624168578417,373.686977578993,310.011352308206,297.0
1970-01-06 06:00:00,1350.6537434613058,6.675434166611927,1360.3030452315652,336.8322234686239,421.53932088818704,421.516758569922,421.49452934041994,421.4942632865884,357.10130632423915,297.0
1970-01-06 07:00:00,1331.1959551199582,11.66750021473385,1359.7247533234706,335.9938948474692,420.1334238513712,420.11166245758335,420.0905300112393,420.0900258136991,358.70062323129275,297.0
1970-01-06 08:00:00,1301.4212122090821,16.69816750815805,1359.16124351302,334.711049959886,417.921336806705,417.89972907792213,417.8790197005269,417.8782952809445,357.7898807805966,297.0
1970-01-06 09:00:00,1261.577033278495,21.739123120979553,1358.6160325280923,332.99436099883496,414.9096967864104,414.8882985784083,414.8680673492785,414.8671184604395,356.4066728374828,297.0
1970-01-06 10:00:00,1211.9873151677386,26.783984807061987,1358.0924688493951,330.85778423935585,411.0774423861854,411.05634550526514,411.036684423237,411.03550391777327,354.6140580820703,297.0
1970-01-06 11:00:00,1153.0494810700109,31.830509605127702,1357.5937338770752,328.3184430059604,406.3940843679878,406.3733969273117,406.35441416292883,406.35299218461256,352.40074127266615,297.0
1970-01-06 12:00:00,1085.2310764848175,36.87772397948205,1357.1228434531004,325.3964816503502,400.81817020812514,400.7980222230619,400.7798472422175,400.7781705043799,349.7478204164692,297.0
1970-01-06 13:00:00,1009.0659917153986,41.92514954988732,1356.6826470248238,322.1149029301722,394.2940399009699,394.2745932028308,394.2573858205189,394.255436515639,346.6297356159875,297.0
1970-01-06 14:00:00,925.1501078703649,46.972540226016065,1356.2758250120867,318.49938045587174,386.74698850406685,386.7284527270625,386.7124174141059,386.7101715871335,343.0121953190167,297.0
1970-01-06 15:00:00,834.1366126301598,52.01976963430606,1355.9048853343438,314.5780568827692,378.0759707239589,378.0586303315715,378.0440398658652,378.0414649296074,338.84894418579773,297.0
1970-01-06 16:00:00,736.7309632006506,57.06677750845474,1355.5721567742503,310.38132689630083,368.1422243607585,368.1264871772166,368.11372413847874,368.1107749245569,334.07676777828874,297.0
1970-01-06 17:00:00,633.6854180586043,62.11354667224522,1355.2797812621168,305.9416016130099,356.7507437609528,356.7372349410786,356.7268700902995,356.7234822896938,328.60746179016263,297.0
1970-01-06 18:00:00,525.7933632219382,67.16008701180277,1355.0297046161368,301.2930641295458,343.61846946008205,343.60823197208293,343.6011872025665,343.59726578945356,322.3142599101579,297.0
1970-01-06 19:00:00,413.8834095105622,72.20642497910256,1354.8236656842564,296.47141520305985,328.31575586687615,328.3107380721045,328.3086721235588,328.30406933579746,315.00738491942747,297.0
1970-01-06 20:00:00,298.8131562731558,77.2526022479595,1354.663184710644,291.5136045620106,310.148501619646,310.1529894598232,310.15939958682105,310.1538687086181,306.38620160950353,297.0
1970-01-06 21:00:00,181.462937415818,82.29866933530509,1354.5495505835058,286.4575614530886,287.8897723190205,287.9160909033457,287.94057597867663,287.9336607540941,295.9349395394975,297.0
1970-01-06 22:00:00,62.72940434733085,87.3446824239756,1354.4838076970836,281.34191816264763,259.0433270699029,259.1542777735575,259.24341057457826,259.23413440275306,282.66213384837704,297.0
1970-01-06 23:00:00,0.15599683182201715,92.39070535678987,1354.4667421902848,276.2057253756351,235.22684311815436,235.40718374324837,235.5716680853863,235.56925427381987,268.89312325107437,297.0
1970-01-07 00:00:00,0.0,97.43680322157263,1354.4988683032652,271.0881746401375,230.59249410517546,230.8011322838554,230.99893814382946,230.9978360278205,264.67941431734084,297.0
1970-01-07 01:00:00,0.0,102.4830444674236,1354.580414855867,266.02831233281717,226.60121404396722,226.880259986826,227.14531370423958,227.14424940937474,262.6449632083315,297.0
1970-01-07 02:00:00,0.0,107.52949813567852,1354.7113123814142,261.06476019087864,222.70730838550077,223.09353927359953,223.46125360156498,223.4602330678095,260.7732587303532,297.0
1970-01-07 03:00:00,0.0,112.57623140106892,1354.891181126525,256.2354385033693,218.9275149092169,219.4848432457933,220.01707444700196,220.01611475709933,259.01228232889804,297.0
1970-01-07 04:00:00,0.0,117.62330869934426,1355.1193202467016,251.5772921115278,215.2776983994273,216.12860951748357,216.9445943016753,216.9437229140901,257.41492951545416,297.0
1970-01-07 05:00:00,0.0,122.67078972357201,1355.3946984053657,247.12602322788732,211.7519306316406,213.16263560670896,214.5243076663223,214.52358027359008,256.0937095387498,297.0
1970-01-07 06:00:00,0.0,127.71872267091294,1355.7159459363309,242.9158351057423,208.25020743705258,210.94774804323998,213.5920952578601,213.5916709893528,255.3547282651305,297.0
1970-01-07 07:00:00,0.0,132.76714218226175,1356.0813485621889,238.97917888020788,203.32286793754753,211.01878151033827,221.2765062249403,221.27684243462465,257.1723035438824,297.0
1970-01-07 08:00:00,0.0,137.81605857729957,1356.4888432874234,235.34651544796534,198.78458291012385,215.8268654809521,247.42551772900515,247.42610114189858,268.9242537277642,297.0
1970-01-07 09:00:00,0.0,142.86543970861024,1356.9360156638716,232.04608906032792,197.98217058265246,222.85719992839847,248.73475793568318,248.73523481702316,273.1230640588587,297.0
1970-01-07 10:00:00,0.0,147.9151847534336,1357.4200997888784,229.1037094288638,197.27131907998975,219.07070823049042,238.75984628983315,238.758792261144,269.58049444003984,297.0
1970-01-07 11:00:00,0.0,152.96505397827252,1357.9379802384717,226.54255501754588,196.30260414170576,210.87007418449852,224.01833949082953,224.01651864663657,262.72943109694285,297.0
1970-01-07 12:00:00,0.0,158.01451364503055,1358.486196520139,224.3829877206939,194.95668432450293,203.1206027019345,210.69819963750768,210.69657339368263,255.6965800170987,297.0
1970-01-07 13:00:00,0.0,163.0622941169587,1359.0609510420072,222.6423851824223,193.45587002110102,198.04964590908116,202.45484443663267,202.45388038338595,250.79572612167814,297.0
1970-01-07 14:00:00,0.0,168.10475047739322,1359.6581202703778,221.33499413783585,192.27094961510005,195.40719357692427,198.47775897783592,198.47726549323122,248.24924480181116,297.0
1970-01-07 15:00:00,0.0,173.1259823536556,1360.2732697309325,220.47180423664366,191.51470952154185,194.05651881742048,196.57084004289817,196.57058413387207,247.03328648571969,297.0
1970-01-07 16:00:00,0.0,177.74435496533872,1156.9142287279485,228.84755566926572,194.3571075005513,195.46065620302994,197.37577809148377,197.3813091796427,246.57210051761865,297.0
1970-01-07 17:00:00,0.0,176.47795378814845,0.0,278.63921712,234.25527758376427,234.26197519757588,234.3200050075572,234.3244560315251,260.5731903553891,297.0
1970-01-07 18:00:00,0.0,171.54685638977304,0.0,278.63921712,236.11543206262283,236.23873935231006,236.36218574785767,236.36220619060217,266.42916922192643,297.0
