,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,I_slope_beam,I_slope_diffuse,I_slope_reflect,I_slope_total
7256,2021-10-30 08:00:00,86.66484439908638,60.36836757664776,147.03321197573413,303,297.86301369863014,1388.7664067385904,2021-10-30 08:00:00,-60.0,-14.744488002272313,0.22810291617957035,11.13732523,297.21771232000003,0.7453959210366566,0.16286430101613605,0.07933446689338172,0.9875946889461743
7257,2021-10-30 09:00:00,223.44602631783636,79.90365667663832,303.3496829944747,303,297.86301369863014,1388.7664067385904,2021-10-30 09:00:00,-45.0,-14.744488002272313,0.3868595317515557,21.12929311,308.27139644,1.5173402574555581,0.21556741909165014,0.16367788650781004,1.8965855630550181
7258,2021-10-30 10:00:00,348.19011701203965,89.07588090310809,437.26599791514775,303,297.86301369863014,1388.7664067385904,2021-10-30 10:00:00,-30.0,-14.744488002272313,0.508677767400141,29.5579945,321.44199103,2.1477805725127905,0.24031262833572323,0.23593489096141063,2.6240280918099246
7259,2021-10-30 11:00:00,431.45457708796675,93.41675044694955,524.8713275349163,303,297.86301369863014,1388.7664067385904,2021-10-30 11:00:00,-15.0,-14.744488002272313,0.585255911680028,35.63316939,337.18606603,2.549881004518004,0.25202360732090706,0.28320395370589,3.0851085655448007
7260,2021-10-30 12:00:00,460.5390666839575,94.69608754787858,555.2351542318361,303,297.86301369863014,1388.7664067385904,2021-10-30 12:00:00,0.0,-14.744488002272313,0.6113752906099092,38.48070957,355.11644777000004,2.6879961720459757,0.2554750563342048,0.2995873134344439,3.243058541814624
7261,2021-10-30 13:00:00,431.6460519198539,93.36045684637475,525.0065087662286,303,297.86301369863014,1388.7664067385904,2021-10-30 13:00:00,15.0,-14.744488002272313,0.585255911680028,37.55841141,13.597397399999977,2.55101261387528,0.25187173609633473,0.28327689321918803,3.0861612431908028
7262,2021-10-30 14:00:00,348.5085437182761,88.98226345147458,437.49080716975067,303,297.86301369863014,1388.7664067385904,2021-10-30 14:00:00,30.0,-14.744488002272313,0.508677767400141,33.05274868,30.598966949999976,2.149744760064387,0.24006006326836668,0.23605619091893015,2.6258610142516834
7263,2021-10-30 15:00:00,223.7905569354647,79.8023646750556,303.5929216105203,303,297.86301369863014,1388.7664067385904,2021-10-30 15:00:00,45.0,-14.744488002272313,0.3868595317515557,25.73082285,45.07472799999999,1.5196798388957307,0.21529414930320756,0.16380913036538863,1.898783118564327
7264,2021-10-30 16:00:00,86.9073566277173,60.29706898143028,147.2044256091476,303,297.86301369863014,1388.7664067385904,2021-10-30 16:00:00,60.0,-14.744488002272313,0.22810291617957035,16.46015088,57.132042309999974,0.7474817451938036,0.16267194869090904,0.07942684835025948,0.989580542234972
7265,2021-10-30 17:00:00,7.9653680317546804,13.92688000238983,21.892248034144508,303,297.86301369863014,1388.7664067385904,2021-10-30 17:00:00,75.0,-14.744488002272313,0.043226921677703506,5.92910836,67.39858143000004,0.14762961799042787,0.03757251799205889,0.01181236404720027,0.19701450002968704
7266,2021-10-30 18:00:00,0.0,0.0,0.0,303,297.86301369863014,1388.7664067385904,2021-10-30 18:00:00,90.0,-14.744488002272313,-0.15516945825076867,-5.37895451,76.58429823,0.0,0.0,0.0,0.0
