,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,insolation_vertical
5552,2021-08-20 08:00:00,263.65829609779155,74.3282356308493,337.98653172864084,232,227.83561643835617,1337.2988461126863,2021-08-20 07:28:16.332097,-67.93333333333334,12.101663069321772,0.41898572880888196,265.40964993,26.32513581,1026.777327800059
5553,2021-08-20 09:00:00,447.9789015526936,83.91367384496526,531.8925753976589,232,227.83561643835617,1337.2988461126863,2021-08-20 08:28:16.332097,-52.93333333333332,12.101663069321772,0.5949633519667102,274.57787208,14.43780821,956.0178522082783
5554,2021-08-20 10:00:00,607.8572753768724,89.14780157103938,697.0050769479118,232,227.83561643835617,1337.2988461126863,2021-08-20 09:28:16.332097,-37.93333333333331,12.101663069321772,0.7391057866301023,283.46467531,2.69626298,867.822417586462
5555,2021-08-20 11:00:00,724.645545093526,91.95313475492823,816.5986798484543,232,227.83561643835617,1337.2988461126863,2021-08-20 10:28:16.332097,-22.93333333333331,12.101663069321772,0.8415899640833839,292.82514401,-8.60479965,779.9756363243075
5556,2021-08-20 12:00:00,787.3017861870492,93.04489567541232,880.3466818624615,232,227.83561643835617,1337.2988461126863,2021-08-20 11:28:16.332097,-7.933333333333309,12.101663069321772,0.8954317569962253,303.37934315,-19.10206263,718.9707044021472
5557,2021-08-20 13:00:00,790.4275715613288,92.68046392609828,883.1080354874271,232,227.83561643835617,1337.2988461126863,2021-08-20 12:28:16.332097,7.066666666666691,12.101663069321772,0.896961936159386,315.88632952,-28.27855373,717.0016736945679
5558,2021-08-20 14:00:00,733.8203645009403,90.8815936931349,824.7019581940751,232,227.83561643835617,1337.2988461126863,2021-08-20 13:28:16.332097,22.06666666666669,12.101663069321772,0.8460762223916373,331.00628231,-35.39133913,775.4029208321881
5559,2021-08-20 15:00:00,622.3736569222178,87.46634854504265,709.8400054672604,232,227.83561643835617,1337.2988461126863,2021-08-20 14:28:16.332097,37.06666666666669,12.101663069321772,0.746242392993633,348.76383022,-39.51431514,862.5377929601868
5560,2021-08-20 16:00:00,432.8921128542298,91.71980380060515,524.611916654835,232,227.83561643835617,1337.2988461126863,2021-08-20 15:28:16.332097,52.06666666666669,12.101663069321772,0.6042639584556437,7.84746308,-39.88206745,951.2486449123176
5561,2021-08-20 17:00:00,256.38774680050244,80.39094035326814,336.7786871537706,232,227.83561643835617,1337.2988461126863,2021-08-20 16:28:16.332097,67.06666666666666,12.101663069321772,0.42981651446097663,25.99868465,-36.41582653,1023.4091055490719
5562,2021-08-20 18:00:00,89.45552858419099,58.78925376976357,148.24478235395455,232,227.83561643835617,1337.2988461126863,2021-08-20 17:28:16.332097,82.06666666666666,12.101663069321772,0.234788366029836,41.64590457,-29.78935967,1067.9368701936792
5563,2021-08-20 19:00:00,5.970872082529941,10.01208112443016,15.9829532069601,232,227.83561643835617,1337.2988461126863,2021-08-20 18:28:16.332097,97.06666666666666,12.101663069321772,0.03247035917854997,54.60740588,-20.93626043,1089.204944460613
