,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,I_slope_beam,I_slope_diffuse,I_slope_reflect,I_slope_total,R_b_ave,start_hour_angle,end_hour_angle
6235,2021-09-17 19:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 19:00:00,105.0,1.412001354227852,-0.19006612914150914,-5.34013111,96.78237071000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6236,2021-09-17 20:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 20:00:00,120.0,1.412001354227852,-0.38117925972100775,-16.98924664,106.42319486000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6237,2021-09-17 21:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 21:00:00,135.0,1.412001354227852,-0.5452918254649709,-28.02734894,117.43578910000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6238,2021-09-17 22:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 22:00:00,150.0,1.412001354227852,-0.6712198262267853,-37.88412163,130.94810668000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6239,2021-09-17 23:00:00,0.0,0.0,0.0,260,255.45205479452054,1356.4218589250893,2021-09-17 23:00:00,165.0,1.412001354227852,-0.7503814768603939,-45.6345962,148.22881325999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6240,2021-09-18 00:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 00:00:00,-180.0,1.0088713639562585,-0.7817885753461633,-49.95289766,169.69501760000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6241,2021-09-18 01:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 01:00:00,-165.0,1.0088713639562585,-0.7547839961780927,-49.68408302,193.02496609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6242,2021-09-18 02:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 02:00:00,-150.0,1.0088713639562585,-0.675610576117008,-44.91286909,214.07712853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6243,2021-09-18 03:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 03:00:00,-135.0,1.0088713639562585,-0.5496638528998088,-36.86998958,230.88835251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6244,2021-09-18 04:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 04:00:00,-120.0,1.0088713639562585,-0.3855268875769463,-26.84891807,244.06561340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
