res_1,alt_1,az_1,normal_1,res_2,alt_2,az_2,normal_2,res_3,alt_3,az_3,normal_3,res_4,alt_4,az_4,normal_4,tilt_5,alt_5,az_5,normal_5
32.1059953,88.64513483,271.5148901,1357.854288,0,153.3896812,271.5148901,1357.854288,0,91.35486517,271.5148901,1357.854288,1214.021648,26.61031882,271.5148901,1357.854288,607.3622582,63.42969516,271.5148901,1357.854288
32.12413974,88.64431721,271.5225677,1357.802421,0,152.8857867,271.5225677,1357.802421,0,91.35568279,271.5225677,1357.802421,1208.579624,27.11421332,271.5225677,1357.802421,618.0054596,62.92533412,271.5225677,1357.802421
32.14227704,88.64350011,271.5304326,1357.750847,0,152.38188,271.5304326,1357.750847,0,91.35649989,271.5304326,1357.750847,1203.044663,27.61812004,271.5304326,1357.750847,628.5998522,62.42098465,271.5304326,1357.750847
32.16040658,88.64268357,271.5384886,1357.699567,0,151.8779622,271.5384886,1357.699567,0,91.35731643,271.5384886,1357.699567,1197.417206,28.12203779,271.5384886,1357.699567,639.1446292,61.91664681,271.5384886,1357.699567
32.17852831,88.6418676,271.5467396,1357.648586,0,151.3740335,271.5467396,1357.648586,0,91.3581324,271.5467396,1357.648586,1191.69769,28.62596647,271.5467396,1357.648586,649.6390085,61.41231966,271.5467396,1357.648586
32.19661761,88.64105324,271.5551886,1357.597907,0,150.870094,271.5551886,1357.597907,0,91.35894676,271.5551886,1357.597907,1185.886558,29.129906,271.5551886,1357.597907,660.0822122,60.90800226,271.5551886,1357.597907
32.21472209,88.64023849,271.5638422,1357.547532,0,150.3661475,271.5638422,1357.547532,0,91.35976151,271.5638422,1357.547532,1179.984303,29.63385254,271.5638422,1357.547532,670.473383,60.40369767,271.5638422,1357.547532
32.23279342,88.63942538,271.5727025,1357.497465,0,149.8621909,271.5727025,1357.497465,0,91.36057462,271.5727025,1357.497465,1173.99135,30.13780906,271.5727025,1357.497465,680.8118132,59.89940195,271.5727025,1357.497465
32.25087921,88.63861191,271.5817765,1357.44771,0,149.3582281,271.5817765,1357.44771,0,91.36138809,271.5817765,1357.44771,1167.908207,30.64177186,271.5817765,1357.44771,691.0966545,59.39511818,271.5817765,1357.44771
32.26893114,88.63780012,271.5910666,1357.398267,0,148.854259,271.5910666,1357.398267,0,91.36219988,271.5910666,1357.398267,1161.735343,31.14574104,271.5910666,1357.398267,701.3271454,58.89084543,271.5910666,1357.398267
